巷道名稱,長度公尺,實際寬度公尺,受影響建築物之詳細地址,行政區,轄區分隊,分區
府前路一段122巷,約120,1.5,單23-109  雙62-96,中西區,中正分隊,紅
府前路一段61巷,約120,1.8,單1-53      ,中西區,中正分隊,紅
府前路一段85巷,約120,2.9,單21-51   雙4-38,中西區,中正分隊,紅
府前路一段90巷,約150,2.5,單1-73    雙10-64,中西區,中正分隊,紅
忠義路二段158巷,約250,2.5,單1-25    雙6-62,中西區,中正分隊,紅
忠義路二段233巷,約180,2.5,單7-47    雙2-58,中西區,中正分隊,紅
青年路132巷,約150,2.8,單3-45    雙2-46,中西區,中正分隊,紅
青年路137巷,約180,1.6,單1-67    雙2-42,中西區,中正分隊,紅
青年路164巷,約150,3.6,單1-43    雙2-32,中西區,中正分隊,紅
青年路47巷,約120,3.3,單1-23    雙2-30,中西區,中正分隊,紅
開山路127巷,約200,2.5,單5-109   雙4-102,中西區,中正分隊,紅
開山路3巷,約180,1.2,單1-51    雙2-72,中西區,中正分隊,紅
新美街,約250,2.5,單85-137  雙94-158,中西區,中正分隊,紅
衛民街108巷,約80,2.1,單1-37    雙2-38,中西區,中正分隊,紅
衛民街124巷,約150,2,單1-33    雙2-42,中西區,中正分隊,紅
北門路一段123巷,約180,3,單1-27    雙2-62,中西區,中正分隊,紅
大同路二段61巷,約263,3.5,1~73號,東區,崇善分隊,紅
大同路二段61巷136弄,約150,3.5,2~16號,東區,崇善分隊,紅
大同路二段449巷,約180,2.5,1~73號、2~42號,東區,崇善分隊,紅
大同路二段449巷2弄,約190,3,1~49號、.2~40號,東區,崇善分隊,紅
仁和路73弄,約90,3.2,73之1~73之17號、73之2~73之16號,東區,崇善分隊,紅
仁和路77弄,約90,3.2,77之1~15號、77之2~16號,東區,崇善分隊,紅
文東街2巷,約156,3.5,1~18號,東區,崇善分隊,紅
立德十一路55巷38弄,約110,3,1號~69號.、2號~54號,東區,崇善分隊,紅
東門路3段280巷,約133,3.2,1~37號、2~46號,東區,崇善分隊,紅
長東街79巷,約99,3.95,1~57號、2~38號,東區,崇善分隊,紅
長東街103巷33弄,約90,3.8,1~32號,東區,崇善分隊,紅
長東街108巷,約171,3.9,1~59號、2~56號,東區,崇善分隊,紅
崇善十五街33巷,約90,3.9,1~89號、2~110號.56號98戶,東區,崇善分隊,紅
崇善路913巷,約82,3,1~47號、2~68號,東區,崇善分隊,紅
崇德二十六街,約216,3.8,1~73號、2~94號.長東街100號4戶,東區,崇善分隊,紅
崇德二十七街,約215,3.8,39~61號、58~78號,東區,崇善分隊,紅
崇德三十一街,約229,3.9,1-65號、2-64號,東區,崇善分隊,紅
崇德三十街,約226,3.5,1~81號、2~88號,東區,崇善分隊,紅
仁和路107巷,約380,3.9,1-113號、2-140號,東區,崇善分隊,紅
仁和路109巷,約380,3.7,1-135號、2-124號,東區,崇善分隊,紅
仁和路111巷,約210,4.1,1-87號、2-76號,東區,崇善分隊,紅
立德二路54巷1-22號,約90,4.3,1-22號,東區,崇善分隊,紅
中華東路三段380巷55弄,約122,5,1號至37號、2號至46號,東區,崇善分隊,黃
立德七路,約180,5,1號至53號、2號至44號,東區,崇善分隊,黃
立德九路,約188,4.5,53號至71號、52號至74號,東區,崇善分隊,黃
立德二路,約220,5,1號至65號、2號至84號,東區,崇善分隊,黃
立德八路,約210,5,1號至75號、2號至80號,東區,崇善分隊,黃
立德十路46巷,約160,5,1號至21號、2號至16號,東區,崇善分隊,黃
立德三路,約220,5,1號至49號、2號至52號,東區,崇善分隊,黃
立德五路,約230,5,1號至43號、2號至50號,東區,崇善分隊,黃
立德六路,約225,5,1號至43號、2號至44號,東區,崇善分隊,黃
立德四路,約230,5,1號至49號、2號至50號,東區,崇善分隊,黃
長東街141巷,約180,5.5,1號至47號、2號至52號,東區,崇善分隊,黃
長東街143巷,約180,5.3,1號至59號、2號至62號,東區,崇善分隊,黃
城東街,約120,4.5,1號至35號,東區,崇善分隊,黃
崇善十五街,約380,5.5,58號至74號、55號至73號,東區,崇善分隊,黃
崇善十五街42巷,約85,5.9,1號至38號,東區,崇善分隊,黃
崇善十五街50巷,約68,5.9,2號至12號、1號至13號,東區,崇善分隊,黃
崇德三十二街,約175,5.2,17號至85號、12號至100號,東區,崇善分隊,黃
榮譽街84巷第一條巷,約210,4.5,1號至25之3號,東區,崇善分隊,黃
榮譽街84巷第二條巷,約225,4.8,27號至79號,東區,崇善分隊,黃
榮譽街84巷第三條巷,約225,4.8,79之5號至111之7號,東區,崇善分隊,黃
榮譽街130巷,約100,5,1號至9號,東區,崇善分隊,黃
德東街16巷,約72,4.7,2號至32號,東區,崇善分隊,黃
中華東路三段509號,約50,4.5,507、509、511號共87戶(品富建設10F),東區,崇善分隊,藍
中華東路三段530號,約42,5,中華東路三段530號共78戶,東區,崇善分隊,藍
中華東路三段541號,約32,4.5,541號共58戶(總陞建設10F),東區,崇善分隊,藍
中華東路三段551號,約27,4.5,551號(香里嵐賓館7F),東區,崇善分隊,藍
自由路二段175巷38弄,約27,3.5,2號至22號共56戶(南元江山大樓),東區,崇善分隊,藍
林森路一段156號,約33,5,156號(哥爸妻夫大飯店7F),東區,崇善分隊,藍
林森路一段158號,約22,5,158號共122戶(祥園大廈6F),東區,崇善分隊,藍
林森路一段160號,約25,5,160號共198戶(巴黎廣場11F),東區,崇善分隊,藍
崇明四街26巷,約120,4.5,2號至6號共54戶(文化生活家9F),東區,崇善分隊,藍
崇德二十五街,約210,5.8,21號至53號共347戶(台糖陽光公園),東區,崇善分隊,藍
崇德二十六街,約216,4,59號共41戶(大隆鄉廈),東區,崇善分隊,藍
崇學路16巷,約150,6.5,18號163戶(文化天廈),東區,崇善分隊,藍
榮譽街274號至榮譽街290巷,約120,6.5,18號164戶(文化天廈),東區,崇善分隊,藍
大同路一段275巷,約230,1.1,單1至55號 雙6至122號,東區,東門分隊,紅
大同路一段329巷,約125,2.8,單1至11號 雙2至24號,東區,東門分隊,紅
大同路一段45巷,約100,1,單1至31號 雙2至20號,東區,東門分隊,紅
大同路一段51巷,約80,2.6,單1至13號 雙2至14號,東區,東門分隊,紅
大同路一段53巷,約40,1,單3號 雙2至16號,東區,東門分隊,紅
大同路一段71巷,約130,1.5,單1至31號 雙2至28號,東區,東門分隊,紅
大同路一段73巷,約130,3.6,單1至39號 雙2至38號,東區,東門分隊,紅
大學路12巷,約125,2,單1至9號 雙2至24號,東區,東門分隊,紅
大學路18巷,約284,2,單1至33號 雙2至30號,東區,東門分隊,紅
大學路22巷,約250,2,單1至31號 雙2至28號,東區,東門分隊,紅
育樂街117巷,約67,1.5,單3至29號 雙2至30號,東區,東門分隊,紅
育樂街57巷2弄,約45,2.8,單17號 雙6至16號,東區,東門分隊,紅
東門路一段131巷,約165,1,1至19號,東區,東門分隊,紅
東門路一段135巷,約185,2,單1至25號 雙2至26號,東區,東門分隊,紅
東門路二段134巷,約77,2,單1至18號 雙2至22號,東區,東門分隊,紅
東門路二段239巷,約95,2,單1至19號 雙2至22號,東區,東門分隊,紅
東門路二段269巷,約118,2,單1至29號 雙2至44號,東區,東門分隊,紅
東寧路120巷,約250,1.7,單3至99號 雙6至34號,東區,東門分隊,紅
東寧路西段18巷,約100,2.5,單3至27號 雙2至42號,東區,東門分隊,紅
東興路11巷,約90,3,單3至31號 雙2至30號,東區,東門分隊,紅
東興路31巷,約90,2,單1至23號 雙2至16號,東區,東門分隊,紅
光華街119巷,約80,2.7,17至21號,東區,東門分隊,紅
樹林街一段183巷6弄,約80,1.5,單1至41號 雙2至32號,東區,東門分隊,紅
長榮路二段24巷,約200,2,單1至75號 雙2至162號,東區,東門分隊,紅
長榮路二段32巷,約65,3,141至161號,東區,東門分隊,紅
長榮路二段32巷46弄,約65,3,單5至199號 雙14至50號,東區,東門分隊,紅
長榮路三段30巷,約60,2.5,單1至15號 雙4至26號,東區,東門分隊,紅
青年路293巷,約90,2.5,單1號至55號 雙2至56號,東區,東門分隊,紅
勝利路12巷,約100,2.5,雙28號至64號單33至113號,東區,東門分隊,紅
新樓街37巷,約40,2,單1至9號 雙2號至14號,東區,東門分隊,紅
裕農路288巷60弄,約210,2.8,單1至83號 雙2至122號,東區,東門分隊,紅
裕農路288巷70弄,約205,3.2,單1至57號 雙2至64號,東區,東門分隊,紅
裕豐街147巷,約155,2.5,單1至53號 雙2至54號,東區,東門分隊,紅
裕豐街161巷,約70,2.2,單1至23號 雙2至20號,東區,東門分隊,紅
裕豐街163巷,約115,1.8,單3至27號 雙2至54號,東區,東門分隊,紅
裕豐街185巷26弄,約67,2.5,單1至13號 雙2至26號,東區,東門分隊,紅
裕豐街222巷43弄,約40,2.9,單1至11號 雙2至20號,東區,東門分隊,紅
裕豐街242巷,約67,3,單1至21號 雙2至22號,東區,東門分隊,紅
裕豐街84巷,約130,2.5,單1至65號 雙2至28號,東區,東門分隊,紅
德光街58巷,約87,3.2,1至35號,東區,東門分隊,紅
德光街62巷,約90,3.2,單1至31號 雙2至32號,東區,東門分隊,紅
衛國街106巷29弄,約80,2,單1至29號 雙4至14號,東區,東門分隊,紅
大同路一段141巷,約190,3.5,單1至67號 雙8至62號,東區,東門分隊,黃
大同路一段155巷,約200,2,單1至79號 雙2至58號,東區,東門分隊,黃
大同路一段241巷6弄,約75,2.6,單25至45號 雙2至48號,東區,東門分隊,黃
中華東路二段22巷,約145,4,單1至25號 雙2至34號,東區,東門分隊,黃
府連路182巷13弄,約50,2.8,單3至18號 雙6至18號,東區,東門分隊,黃
東門路二段301巷80弄,約90,4,單7至29號 雙2至30號,東區,東門分隊,黃
東門路二段301巷90弄,約90,3,單3至23號 雙2至32號,東區,東門分隊,黃
東門路二段301巷115弄,約95,2.6,單1至31號 雙2至28號,東區,東門分隊,黃
勝利路12巷,約90,4,單1至3號 雙8至28號,東區,東門分隊,黃
裕農路19巷32弄,約154,3,單1至19號 雙2至18號,東區,東門分隊,黃
裕農路291巷,約113,3,單3至55號 雙2至68號,東區,東門分隊,黃
裕農路345巷,約178,4,單3至57號 雙8至66號,東區,東門分隊,黃
裕農路389巷3弄,約120,2.3,單1至25號 雙2至28號,東區,東門分隊,黃
衛國街106巷5弄,約220,2.5,單1至63號 雙2至60號,東區,東門分隊,黃
衛國街106巷17弄,約206,2,單1至65號 雙2至66號,東區,東門分隊,黃
東門路一段267巷,約70,2,5號.6號大樓,東區,東門分隊,藍
裕學路185巷,約416,3.5,單號1-183號，雙號2-182號,東區,後甲分隊,紅
裕農路668巷35弄,約235,3.9,單號1-33號，雙號2-58號,東區,後甲分隊,紅
裕農路668巷75弄,約197,3.9,單號1-135號，雙號2-128號,東區,後甲分隊,紅
裕農路621巷,約193,2.5,單號51-55號,東區,後甲分隊,紅
裕農路621巷72弄；建東街63巷,約127,3,單號1-97號，雙號10-12號；單號1-37號，雙號2-4號,東區,後甲分隊,紅
建東街43巷,約147,2.5,單號1-45號，雙號2-56號,東區,後甲分隊,紅
富農街一段48巷,約170,3.2,單號1-51號，雙號2-36號,東區,後甲分隊,紅
富農街二段28巷,約60,1.6,雙號28-62號,東區,後甲分隊,紅
富農街二段79巷 ,約84,2.3,單號1-13號，雙號2-14號,東區,後甲分隊,紅
中華東路一段2巷,約126,3,單號1-17號,東區,後甲分隊,紅
小東路198巷,約122,3,單號1-41號，雙號2-46號,東區,後甲分隊,紅
小東路198巷6弄,約152,3.5,單號1-41號，雙號2-32號,東區,後甲分隊,紅
小東路198巷24弄,約89,3.5,單號1-37號，雙號2-52號,東區,後甲分隊,紅
小東路198巷40弄,約213,3.5,單號1-55號，雙號2-50號,東區,後甲分隊,紅
光明街175巷,約148,2.4,雙號2-36號,東區,後甲分隊,紅
光明街201巷,約128,3.7,單號1-27號，雙號2-26號,東區,後甲分隊,紅
東光路一段5巷,約225,2.2,單號1-59號，雙號2-64號,東區,後甲分隊,紅
東興路20巷,約220,2.2,單號1-147號，雙號4-48號,東區,後甲分隊,紅
東興路40巷,約66,2.5,單號1-13號，雙號2-116號,東區,後甲分隊,紅
東興路314巷,約122,2.2,單號1-27號，雙號4-40號,東區,後甲分隊,紅
東門路三段37巷75弄,約130,3.2,單號1-51號，雙號2-40號,東區,後甲分隊,紅
東成街56巷,約112,3.7,雙號2-46號,東區,後甲分隊,紅
裕農路668巷,約405,4.7,單號1-99號，雙號2-70號,東區,後甲分隊,黃
裕農路621巷45弄,約100,6,單號1-25號，雙號2-28號,東區,後甲分隊,黃
裕農路661巷,約175,4.5,單號1-75號，雙號2-60號,東區,後甲分隊,黃
裕農路771巷,約141,4.5,雙號2-50號,東區,後甲分隊,黃
富農街一段188巷,約127,6.6,單號1-125號，雙號2-164號,東區,後甲分隊,黃
富農街一段258巷,約92,4.1,單號1-27號，雙號2-30號,東區,後甲分隊,黃
富農街一段268巷,約182,4.2,單號1-45號，雙號2-60號,東區,後甲分隊,黃
富農街二段73巷,約160,4.7,雙號2-18號,東區,後甲分隊,黃
富農街二段92巷,約104,4.7,單號1-21號，雙號2-16號,東區,後甲分隊,黃
富農街二段109巷；中華東路二段7巷13弄,約156,4.2,單號1-31號，雙號2-42號；單號3-11號，雙號2-22號,東區,後甲分隊,黃
中華東路一段207巷,約126,4.5,單號1-31號，雙號2-48號,東區,後甲分隊,黃
中華東路二段203巷9弄,約70,4.2,單號1-21號，雙號2-22號,東區,後甲分隊,黃
中華東路二段203巷17弄,約73,6.4,單號1-21號，雙號2-38號,東區,後甲分隊,黃
東和路57巷,約250,6,單號1-19號，雙號2-16號,東區,後甲分隊,黃
東和路159巷,約188,5.5,單號1-57號，雙號4-26號,東區,後甲分隊,黃
東成街46巷,約96,4.8,單號1-39號，雙號10弄1-13號,東區,後甲分隊,黃
東門路三段37巷10弄,約67,4.5,單號1-29號，雙號2-34號,東區,後甲分隊,黃
東門路三段37巷55弄,約88,4.2,單號1-27號，雙號2-28號,東區,後甲分隊,黃
東門路三段37巷63弄,約76,4.2,單號1-31號，雙號2-32號,東區,後甲分隊,黃
東門路三段179巷,約488,4.2,單號1-93號,東區,後甲分隊,黃
富農街一段36巷 ,約90,7,浪琴華大樓 雙號14-28號 ,東區,後甲分隊,藍
富農街二段43巷,約58,4.2,甜甜家園 雙號2-28號,東區,後甲分隊,藍
莊敬路21巷,約80,7,國泰麗園大樓 雙號2.6.8.20.22號,東區,後甲分隊,藍
怡東路150巷,約112,7,大鵬新城 單號1-29號，雙號2-30號,東區,後甲分隊,藍
光明街102巷,約90,4.8,大鵬新城(甲乙區) 單號1-15號，雙號2-20號,東區,後甲分隊,藍
東平路9巷,約95,4.8,錢龍社區大樓 單號7-37號,東區,後甲分隊,藍
東興路118巷,約80,5,凱旋國際學苑 雙號18號 ,東區,後甲分隊,藍
東興路199巷,約114,6,大鵬新城 單號1-29號,東區,後甲分隊,藍
東安路251巷51號,約153,5,成大鴻禧園大樓 單號51-55號,東區,後甲分隊,藍
